epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.083,2.31359,3.25387,2.15644,0.67521,0.04531,0.02626,0.00714,3.3237,2.34387,1.8548,0.0700107,0.00333214,0.00333214
2,476.96,1.58205,2.32712,1.73253,0.33629,0.0626,0.03908,0.01143,3.11942,2.08648,1.74675,0.0400054,0.00666015,0.00666015
3,706.699,1.45781,2.07897,1.61851,0.36954,0.07175,0.06572,0.02155,2.89422,1.91625,1.6508,0.0099947,0.00998281,0.00998281
4,930.599,1.33618,1.92767,1.54704,0.543,0.08557,0.09388,0.03385,2.54868,1.67745,1.53676,0.009976,0.009976,0.009976
5,1154.37,1.25617,1.82265,1.50798,0.29933,0.14154,0.112,0.04245,2.42136,1.62954,1.48941,0.009968,0.009968,0.009968
6,1378.14,1.22682,1.6643,1.45996,0.44782,0.13427,0.12417,0.04858,2.37995,1.51521,1.4707,0.00996,0.00996,0.00996
7,1604.48,1.18863,1.58541,1.43137,0.54994,0.16452,0.14036,0.05283,2.31984,1.45448,1.44452,0.009952,0.009952,0.009952
8,1828.89,1.18671,1.55145,1.42418,0.7213,0.17612,0.15969,0.06285,2.18734,1.36292,1.40292,0.009944,0.009944,0.009944
9,2054.48,1.14934,1.50692,1.4038,0.57439,0.15902,0.15847,0.06115,2.25636,1.39317,1.42018,0.009936,0.009936,0.009936
10,2279.12,1.16428,1.46895,1.39744,0.56792,0.1807,0.16259,0.06175,2.16447,1.28121,1.38737,0.009928,0.009928,0.009928
11,2505.44,1.1072,1.44383,1.3837,0.63993,0.18999,0.17654,0.07142,2.16501,1.26695,1.38567,0.00992,0.00992,0.00992
12,2730.47,1.09479,1.40918,1.38244,0.50986,0.18855,0.17576,0.06702,2.13679,1.25745,1.38247,0.009912,0.009912,0.009912
13,2955.89,1.11086,1.39294,1.37061,0.45134,0.2017,0.186,0.07324,2.08835,1.25407,1.36662,0.009904,0.009904,0.009904
14,3201.21,1.07842,1.37294,1.3584,0.74111,0.20246,0.19407,0.07759,2.07326,1.2398,1.36356,0.009896,0.009896,0.009896
15,3425.22,1.06751,1.36876,1.35764,0.62723,0.20695,0.1911,0.07644,2.07403,1.19219,1.34478,0.009888,0.009888,0.009888
16,3649.27,1.08643,1.34103,1.35282,0.66714,0.22072,0.20384,0.08033,2.08006,1.19073,1.35135,0.00988,0.00988,0.00988
17,235.849,1.20512,1.34325,1.34827,0.65026,0.22228,0.20874,0.08189,2.32891,1.18596,1.33962,0.009872,0.009872,0.009872
18,459.275,1.21512,1.32457,1.34774,0.65616,0.22461,0.21961,0.08755,2.32951,1.15365,1.33367,0.009864,0.009864,0.009864
19,683.038,1.21458,1.28296,1.33748,0.64799,0.22818,0.21467,0.08516,2.30491,1.15835,1.3296,0.009856,0.009856,0.009856
20,907.422,1.18302,1.28772,1.33091,0.57684,0.25069,0.23015,0.09291,2.29443,1.11356,1.32206,0.009848,0.009848,0.009848
21,1131.33,1.1611,1.28438,1.33581,0.57369,0.25439,0.23609,0.09525,2.26901,1.11726,1.31721,0.00984,0.00984,0.00984
22,1355.22,1.17114,1.24323,1.32308,0.57964,0.24185,0.23439,0.09496,2.2581,1.08836,1.31721,0.009832,0.009832,0.009832
23,1579.65,1.16549,1.23388,1.31524,0.61055,0.25602,0.24571,0.09865,2.25695,1.07778,1.31378,0.009824,0.009824,0.009824
24,1803.72,1.18114,1.23518,1.31949,0.61133,0.25297,0.24739,0.09922,2.21695,1.08789,1.30065,0.009816,0.009816,0.009816
25,2028.26,1.159,1.22174,1.3124,0.6088,0.24978,0.2394,0.09492,2.22711,1.07667,1.3029,0.009808,0.009808,0.009808
26,2252.77,1.18772,1.21965,1.31743,0.59361,0.26554,0.24986,0.09692,2.21972,1.06706,1.30562,0.0098,0.0098,0.0098
27,2475.88,1.14063,1.2172,1.3094,0.69574,0.25611,0.25869,0.10451,2.20549,1.03519,1.29683,0.009792,0.009792,0.009792
28,2699.74,1.13425,1.20227,1.31308,0.43355,0.27361,0.24609,0.09587,2.19885,1.05229,1.29317,0.009784,0.009784,0.009784
29,2924.55,1.15915,1.20276,1.30544,0.47037,0.29493,0.26845,0.10538,2.18223,1.0305,1.29212,0.009776,0.009776,0.009776
30,3168.21,1.13154,1.18891,1.2987,0.71463,0.26774,0.27736,0.10993,2.17432,1.03077,1.28602,0.009768,0.009768,0.009768
31,3391.98,1.12453,1.19798,1.30032,0.64805,0.27127,0.26982,0.10931,2.16647,1.02277,1.28269,0.00976,0.00976,0.00976
32,3615.79,1.15392,1.18231,1.3018,0.65807,0.27664,0.27587,0.10859,2.15962,1.01489,1.28182,0.009752,0.009752,0.009752
33,3839.64,1.13726,1.17408,1.29794,0.66984,0.2716,0.27724,0.11004,2.1569,1.01224,1.28026,0.009744,0.009744,0.009744
34,4064.71,1.16986,1.16925,1.3011,0.54401,0.29938,0.28635,0.11577,2.14617,0.99531,1.27561,0.009736,0.009736,0.009736
35,4301.13,1.11091,1.18289,1.29201,0.66294,0.28365,0.28252,0.11138,2.14773,1.00395,1.2766,0.009728,0.009728,0.009728
