epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.035,0.03749,3.34483,1.86656,0.28061,0.02688,0.00715,0.00181,0.03152,2.76049,1.53838,0.0700107,0.00333214,0.00333214
2,314.8,0.03219,2.51618,1.46743,0.43776,0.0447,0.02299,0.00555,0.02912,2.48084,1.43173,0.0400054,0.00666015,0.00666015
3,470.608,0.03057,2.3098,1.37705,0.4358,0.05037,0.02651,0.00624,0.02797,2.04863,1.35658,0.0099947,0.00998281,0.00998281
4,615.788,0.02969,2.21574,1.32894,0.3459,0.05668,0.03095,0.00784,0.02689,1.86316,1.29926,0.009976,0.009976,0.009976
5,780.636,0.02863,2.11054,1.28873,0.21109,0.06223,0.04354,0.01163,0.02611,1.81578,1.27346,0.009968,0.009968,0.009968
6,977.564,0.02801,1.9616,1.25453,0.2733,0.06979,0.04723,0.01292,0.02606,1.74317,1.23989,0.00996,0.00996,0.00996
7,1146.13,0.02751,1.87452,1.22528,0.27556,0.09165,0.05864,0.01896,0.02605,1.66565,1.24259,0.009952,0.009952,0.009952
8,1300.66,0.02734,1.84641,1.22501,0.26824,0.10156,0.06865,0.02029,0.02515,1.63979,1.22349,0.009944,0.009944,0.009944
9,1468.53,0.02697,1.81432,1.20804,0.37372,0.11123,0.0668,0.02037,0.02537,1.66992,1.21497,0.009936,0.009936,0.009936
10,1620.15,0.02667,1.7726,1.20293,0.2561,0.10601,0.0664,0.01834,0.0243,1.57549,1.19193,0.009928,0.009928,0.009928
11,1769.56,0.02636,1.75219,1.19106,0.40705,0.12073,0.09193,0.0294,0.02406,1.49703,1.17895,0.00992,0.00992,0.00992
12,1924.16,0.02617,1.70481,1.18777,0.37962,0.1263,0.07878,0.02221,0.0242,1.49933,1.1814,0.009912,0.009912,0.009912
13,2076.81,0.02597,1.68913,1.17793,0.24725,0.1229,0.08578,0.02748,0.02412,1.55154,1.17027,0.009904,0.009904,0.009904
14,2228.37,0.0258,1.64606,1.16897,0.5535,0.14052,0.11038,0.03606,0.02333,1.49668,1.16324,0.009896,0.009896,0.009896
15,2386.98,0.02555,1.65732,1.16385,0.43805,0.13505,0.11214,0.03652,0.02351,1.47214,1.15757,0.009888,0.009888,0.009888
16,2544.41,0.02557,1.63553,1.1654,0.43249,0.14453,0.11816,0.03864,0.02339,1.43924,1.16072,0.00988,0.00988,0.00988
17,2697.35,0.02548,1.60931,1.15844,0.64622,0.1375,0.08889,0.02619,0.02342,1.43328,1.15486,0.009872,0.009872,0.009872
18,2850.16,0.02534,1.59951,1.15706,0.42134,0.1493,0.11303,0.03465,0.02305,1.38001,1.13877,0.009864,0.009864,0.009864
19,3004.26,0.02514,1.62728,1.14387,0.38741,0.14974,0.09889,0.02879,0.02314,1.3928,1.13958,0.009856,0.009856,0.009856
20,3163.56,0.02521,1.57585,1.14943,0.42662,0.14598,0.11025,0.03502,0.02287,1.38372,1.13849,0.009848,0.009848,0.009848
21,3317.58,0.02499,1.5522,1.14474,0.31574,0.15292,0.12274,0.03722,0.0228,1.37784,1.13561,0.00984,0.00984,0.00984
22,3468.63,0.02487,1.5446,1.14065,0.45894,0.16234,0.13582,0.04664,0.02239,1.35954,1.12227,0.009832,0.009832,0.009832
23,3625.77,0.02501,1.5337,1.13872,0.43905,0.1562,0.12566,0.03987,0.02227,1.35702,1.11894,0.009824,0.009824,0.009824
24,3772.91,0.0247,1.51441,1.13859,0.32256,0.15673,0.13052,0.042,0.02244,1.33735,1.11947,0.009816,0.009816,0.009816
25,3941.68,0.02475,1.53711,1.12963,0.22449,0.16364,0.1317,0.0415,0.02238,1.34565,1.11801,0.009808,0.009808,0.009808
26,4094.21,0.02473,1.49265,1.13506,0.17719,0.18101,0.1279,0.0401,0.02227,1.33297,1.11772,0.0098,0.0098,0.0098
27,4243.84,0.02456,1.50106,1.12778,0.32983,0.16499,0.14326,0.04671,0.02206,1.3131,1.10954,0.009792,0.009792,0.009792
28,4396.39,0.02459,1.50485,1.13011,0.33359,0.16357,0.14197,0.04652,0.02198,1.31079,1.10966,0.009784,0.009784,0.009784
29,4547.55,0.0245,1.49907,1.12457,0.45902,0.16769,0.14565,0.04893,0.02198,1.30013,1.10795,0.009776,0.009776,0.009776
30,4699.22,0.0244,1.47369,1.12463,0.51177,0.16419,0.13558,0.04264,0.02193,1.29686,1.10596,0.009768,0.009768,0.009768
31,4850.39,0.02434,1.47994,1.12781,0.3817,0.17306,0.14106,0.04528,0.02194,1.28106,1.10499,0.00976,0.00976,0.00976
32,5001.09,0.02439,1.46068,1.12761,0.45816,0.17226,0.15084,0.04961,0.02179,1.28526,1.10257,0.009752,0.009752,0.009752
33,5151.72,0.02427,1.46647,1.11845,0.43906,0.17552,0.15074,0.04979,0.02178,1.27879,1.09763,0.009744,0.009744,0.009744
34,5303.58,0.02411,1.47434,1.1198,0.43804,0.1866,0.15669,0.04976,0.0216,1.26481,1.09283,0.009736,0.009736,0.009736
35,5459.84,0.02418,1.46359,1.11979,0.46829,0.17192,0.15631,0.05025,0.02166,1.2734,1.09655,0.009728,0.009728,0.009728
36,5608.04,0.02407,1.45301,1.11163,0.3383,0.19031,0.15741,0.05181,0.02156,1.26817,1.09349,0.00972,0.00972,0.00972
37,5766.09,0.02408,1.45163,1.11172,0.39098,0.19557,0.15713,0.05005,0.02149,1.24655,1.08984,0.009712,0.009712,0.009712
38,5918.39,0.02415,1.44332,1.11374,0.4445,0.1864,0.15944,0.05277,0.02146,1.26128,1.0899,0.009704,0.009704,0.009704
39,6075.28,0.02394,1.42103,1.11159,0.35074,0.17974,0.16305,0.05423,0.0214,1.24715,1.08965,0.009696,0.009696,0.009696
40,6232.1,0.02391,1.44095,1.11115,0.5451,0.18349,0.15966,0.05235,0.02131,1.23996,1.08538,0.009688,0.009688,0.009688
41,6384.74,0.02397,1.41478,1.11004,0.44334,0.19076,0.15834,0.0518,0.02128,1.23878,1.08634,0.00968,0.00968,0.00968
42,6539.54,0.02383,1.40667,1.10673,0.40601,0.19332,0.16142,0.05349,0.02131,1.22906,1.08517,0.009672,0.009672,0.009672
43,6686.39,0.02389,1.40145,1.10424,0.56791,0.1921,0.16534,0.05439,0.02119,1.22656,1.08317,0.009664,0.009664,0.009664
44,6835.96,0.02392,1.41098,1.10277,0.54916,0.1958,0.17298,0.05776,0.0212,1.22724,1.08466,0.009656,0.009656,0.009656
45,6987.84,0.02381,1.41374,1.10938,0.51043,0.21095,0.17387,0.05774,0.02107,1.21678,1.08114,0.009648,0.009648,0.009648
46,7139.7,0.02373,1.38496,1.1036,0.48541,0.21258,0.17514,0.0588,0.02099,1.21087,1.08003,0.00964,0.00964,0.00964
47,7297.35,0.02373,1.39528,1.10471,0.49728,0.21323,0.17015,0.05737,0.02103,1.20819,1.08016,0.009632,0.009632,0.009632
48,7448.52,0.02369,1.39355,1.09756,0.51299,0.21176,0.17473,0.05745,0.02099,1.20183,1.07763,0.009624,0.009624,0.009624
49,7601.15,0.02372,1.41279,1.10402,0.50795,0.21844,0.17288,0.05747,0.02099,1.20205,1.07771,0.009616,0.009616,0.009616
50,7751.96,0.02371,1.38657,1.09291,0.56162,0.20899,0.17745,0.05916,0.02092,1.20492,1.07569,0.009608,0.009608,0.009608
51,7902.38,0.02365,1.37005,1.09957,0.56514,0.21452,0.18147,0.06162,0.02087,1.19769,1.07352,0.0096,0.0096,0.0096
52,8059.99,0.02352,1.36262,1.09824,0.52366,0.22037,0.17969,0.0611,0.02085,1.20189,1.07256,0.009592,0.009592,0.009592
53,8216.43,0.02359,1.36535,1.10063,0.55344,0.21008,0.1797,0.06066,0.02078,1.19988,1.07097,0.009584,0.009584,0.009584
54,8375.94,0.02347,1.36854,1.09455,0.53856,0.21233,0.18212,0.06125,0.02075,1.19458,1.07136,0.009576,0.009576,0.009576
55,8528.35,0.02358,1.37479,1.0944,0.54078,0.21375,0.18486,0.06174,0.02075,1.19112,1.07099,0.009568,0.009568,0.009568
56,8680.73,0.02345,1.38366,1.1029,0.53171,0.21737,0.18878,0.06295,0.02075,1.1896,1.07069,0.00956,0.00956,0.00956
57,8833.79,0.02356,1.36292,1.09741,0.52772,0.2174,0.18769,0.06222,0.02076,1.18284,1.07024,0.009552,0.009552,0.009552
58,8984.92,0.0234,1.3695,1.09125,0.55003,0.20919,0.18832,0.06229,0.02072,1.17854,1.06973,0.009544,0.009544,0.009544
59,9142.34,0.02343,1.36109,1.09239,0.54225,0.21702,0.19128,0.06319,0.02068,1.17906,1.06784,0.009536,0.009536,0.009536
60,9297.64,0.02348,1.34063,1.09566,0.55392,0.21774,0.19135,0.06349,0.02062,1.17945,1.06633,0.009528,0.009528,0.009528
61,9455.86,0.02334,1.32494,1.09101,0.5461,0.22182,0.19116,0.06429,0.02059,1.18046,1.06564,0.00952,0.00952,0.00952
62,9615.72,0.02337,1.36303,1.09284,0.53526,0.22221,0.19147,0.06433,0.02056,1.17684,1.06468,0.009512,0.009512,0.009512
63,9772.02,0.02322,1.34074,1.09772,0.55124,0.21918,0.1892,0.06354,0.02053,1.1747,1.06355,0.009504,0.009504,0.009504
64,9924.69,0.02343,1.3663,1.09318,0.55507,0.21327,0.18877,0.06396,0.02053,1.17258,1.06359,0.009496,0.009496,0.009496
65,10074.1,0.02327,1.31352,1.08729,0.54711,0.21858,0.1882,0.0637,0.02051,1.171,1.06331,0.009488,0.009488,0.009488
66,10226.5,0.02337,1.34213,1.09086,0.55257,0.2189,0.18438,0.06171,0.02049,1.17047,1.0625,0.00948,0.00948,0.00948
67,10381.1,0.02346,1.35081,1.09545,0.55085,0.22103,0.18879,0.06371,0.02046,1.16911,1.062,0.009472,0.009472,0.009472
68,10536.4,0.02323,1.33508,1.08633,0.54003,0.22786,0.19004,0.06435,0.02043,1.16718,1.06154,0.009464,0.009464,0.009464
69,10698.2,0.02316,1.33585,1.08546,0.53144,0.23074,0.19,0.06429,0.02043,1.16646,1.06125,0.009456,0.009456,0.009456
70,10849.7,0.02332,1.33636,1.08447,0.56174,0.22145,0.18994,0.06351,0.02042,1.1663,1.06073,0.009448,0.009448,0.009448
71,11009.1,0.02313,1.33768,1.08768,0.53782,0.23123,0.18749,0.06283,0.02041,1.16501,1.0601,0.00944,0.00944,0.00944
72,11160.9,0.02322,1.3387,1.08869,0.5413,0.22692,0.1846,0.06299,0.02039,1.16316,1.05985,0.009432,0.009432,0.009432
73,11316,0.02316,1.3254,1.08768,0.5484,0.22745,0.18558,0.06274,0.02037,1.1622,1.05943,0.009424,0.009424,0.009424
74,11467.8,0.02311,1.32547,1.08413,0.5567,0.22291,0.18426,0.06255,0.02035,1.1613,1.059,0.009416,0.009416,0.009416
75,11616.6,0.02317,1.32518,1.08925,0.56683,0.22215,0.18865,0.06386,0.02033,1.15999,1.05825,0.009408,0.009408,0.009408
76,11769.6,0.02301,1.31321,1.08115,0.56385,0.22577,0.1922,0.06495,0.02031,1.15845,1.05763,0.0094,0.0094,0.0094
77,11931.1,0.02309,1.31167,1.08495,0.56271,0.22688,0.19299,0.06526,0.02031,1.15711,1.05737,0.009392,0.009392,0.009392
78,12085.2,0.02303,1.32437,1.08605,0.56141,0.2248,0.19287,0.06515,0.0203,1.15579,1.05702,0.009384,0.009384,0.009384
79,12237.8,0.02306,1.32291,1.08131,0.56068,0.22718,0.19109,0.06482,0.02029,1.15429,1.0565,0.009376,0.009376,0.009376
80,12394.3,0.02309,1.32457,1.07957,0.56523,0.22827,0.19237,0.06535,0.02029,1.15234,1.0562,0.009368,0.009368,0.009368
81,12547.7,0.02305,1.30794,1.08344,0.55859,0.22897,0.19222,0.0656,0.02027,1.15081,1.05591,0.00936,0.00936,0.00936
82,12697.7,0.02305,1.29439,1.07662,0.55417,0.22678,0.19233,0.06599,0.02026,1.14926,1.05549,0.009352,0.009352,0.009352
83,12852.4,0.02297,1.30387,1.08131,0.56274,0.22582,0.19298,0.06639,0.02025,1.1474,1.05517,0.009344,0.009344,0.009344
84,13003.6,0.02295,1.29941,1.08497,0.5648,0.22742,0.19318,0.06647,0.02023,1.14691,1.05488,0.009336,0.009336,0.009336
85,13151.1,0.02297,1.31003,1.08154,0.57096,0.23082,0.19637,0.06695,0.02022,1.14537,1.05443,0.009328,0.009328,0.009328
86,13307.6,0.02292,1.32105,1.08229,0.58258,0.22963,0.19641,0.06704,0.0202,1.14441,1.05398,0.00932,0.00932,0.00932
87,13464.4,0.02302,1.33109,1.08312,0.57863,0.2307,0.19624,0.06702,0.02019,1.1433,1.0537,0.009312,0.009312,0.009312
88,13622.8,0.02291,1.29784,1.07641,0.59407,0.22991,0.19833,0.0675,0.02017,1.1419,1.05346,0.009304,0.009304,0.009304
89,13786,0.02286,1.28544,1.0773,0.58979,0.23111,0.19876,0.06765,0.02016,1.14103,1.05313,0.009296,0.009296,0.009296
90,13939.2,0.0228,1.28079,1.07214,0.59656,0.22655,0.19858,0.06753,0.02015,1.1403,1.05293,0.009288,0.009288,0.009288
91,14088,0.02284,1.27497,1.07383,0.59569,0.22692,0.19974,0.06742,0.02014,1.13959,1.05263,0.00928,0.00928,0.00928
92,14249.8,0.02276,1.28183,1.07712,0.6008,0.22912,0.20063,0.06801,0.02013,1.13852,1.05256,0.009272,0.009272,0.009272
93,14404.9,0.02298,1.29929,1.07282,0.5974,0.22695,0.19985,0.06808,0.02013,1.1381,1.05236,0.009264,0.009264,0.009264
94,14558.7,0.02285,1.27961,1.07325,0.57802,0.23302,0.19923,0.06826,0.02011,1.13783,1.05196,0.009256,0.009256,0.009256
95,14715.3,0.02285,1.28685,1.07817,0.58301,0.23431,0.20075,0.0685,0.0201,1.13754,1.05174,0.009248,0.009248,0.009248
96,14872.4,0.02278,1.28751,1.07973,0.58219,0.2347,0.20103,0.06856,0.02009,1.13689,1.05135,0.00924,0.00924,0.00924
97,15028.6,0.02284,1.29376,1.0751,0.58657,0.23352,0.20065,0.06874,0.02008,1.13627,1.05107,0.009232,0.009232,0.009232
98,15176.3,0.02282,1.28988,1.07692,0.58122,0.23361,0.20032,0.06873,0.02007,1.13535,1.05078,0.009224,0.009224,0.009224
99,15322.5,0.02273,1.28242,1.07356,0.58277,0.2353,0.20164,0.06899,0.02006,1.13445,1.05054,0.009216,0.009216,0.009216
100,15470.9,0.02282,1.29466,1.079,0.5816,0.23266,0.20108,0.06896,0.02005,1.13386,1.05035,0.009208,0.009208,0.009208
101,15629.6,0.02274,1.28172,1.07436,0.58272,0.23255,0.20155,0.06932,0.02004,1.13309,1.05018,0.0092,0.0092,0.0092
102,15778.5,0.02286,1.29426,1.07653,0.58892,0.23238,0.20255,0.06944,0.02004,1.1323,1.05009,0.009192,0.009192,0.009192
103,15934.6,0.0227,1.28234,1.07111,0.58264,0.2336,0.20223,0.06951,0.02003,1.13173,1.05,0.009184,0.009184,0.009184
104,16086.9,0.02256,1.28649,1.07283,0.58382,0.233,0.20281,0.06972,0.02002,1.13126,1.0499,0.009176,0.009176,0.009176
105,16239.3,0.02284,1.28377,1.07253,0.58936,0.23079,0.20289,0.06989,0.02001,1.13057,1.04972,0.009168,0.009168,0.009168
