epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0722,1.68714,4.84246,3.9417,0.25879,0.01588,0.00428,0.00095,1.69317,3.24624,3.34859,0.070124,0.00331956,0.00331956
2,33.2443,1.06351,3.7784,2.89832,0.03517,0.07206,0.01653,0.0038,1.45447,2.6834,2.88686,0.0401186,0.00664757,0.00664757
3,49.3142,0.86425,3.37983,2.57537,0.02976,0.0534,0.02795,0.00887,1.40991,2.55296,2.91747,0.010108,0.00997025,0.00997025
4,66.0541,0.75431,3.43922,2.42798,0.06894,0.15453,0.05774,0.01829,1.24254,5.62253,2.57765,0.009976,0.009976,0.009976
5,82.9566,0.69452,2.98876,2.27108,0.06683,0.12609,0.0567,0.01996,1.174,2.69124,2.50449,0.009968,0.009968,0.009968
6,99.4556,0.59043,2.81765,2.10414,0.22449,0.15072,0.09225,0.03071,1.08376,2.8425,2.26875,0.00996,0.00996,0.00996
7,115.621,0.57816,2.64341,2.03355,0.10951,0.17831,0.12076,0.04673,1.01819,2.00023,2.2118,0.009952,0.009952,0.009952
8,131.916,0.543,2.56982,1.93031,0.12355,0.21327,0.11716,0.04638,0.89857,2.14692,1.98035,0.009944,0.009944,0.009944
9,148.168,0.51311,2.39967,1.87834,0.12347,0.24689,0.14497,0.06213,0.86649,1.85314,1.97285,0.009936,0.009936,0.009936
10,164.353,0.51855,2.33855,1.86268,0.3229,0.20621,0.1635,0.06896,0.84894,1.93628,1.94759,0.009928,0.009928,0.009928
11,180.524,0.47159,2.16645,1.77688,0.39517,0.20584,0.17798,0.08469,0.79223,1.86159,1.80033,0.00992,0.00992,0.00992
12,196.675,0.47611,2.13065,1.7701,0.29277,0.31563,0.18792,0.08939,0.78842,1.73608,1.79193,0.009912,0.009912,0.009912
13,213.19,0.45801,2.07537,1.72238,0.41345,0.26966,0.18075,0.08943,0.73181,1.81429,1.76199,0.009904,0.009904,0.009904
14,229.345,0.4552,2.06346,1.67635,0.22756,0.29353,0.18551,0.09031,0.73146,1.91674,1.72918,0.009896,0.009896,0.009896
15,245.604,0.43007,1.95759,1.65081,0.25397,0.40054,0.22429,0.1096,0.70064,1.65118,1.66919,0.009888,0.009888,0.009888
16,262.617,0.42791,1.95012,1.63553,0.27256,0.37059,0.21264,0.09966,0.73119,1.637,1.7293,0.00988,0.00988,0.00988
17,279.19,0.43722,1.88787,1.61506,0.26742,0.39626,0.27177,0.13932,0.69174,1.63036,1.63876,0.009872,0.009872,0.009872
18,296.22,0.39343,1.84199,1.56852,0.30576,0.45821,0.26192,0.13883,0.66628,1.55935,1.60431,0.009864,0.009864,0.009864
19,314.343,0.40963,1.78405,1.59619,0.49546,0.3645,0.32139,0.15672,0.68937,1.51194,1.6237,0.009856,0.009856,0.009856
