epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8448,1.65777,4.89864,3.83261,0.00939,0.03126,0.00409,0.00073,1.67549,3.05981,3.31875,0.070124,0.00331956,0.00331956
2,92.8852,1.06685,3.77042,2.8776,0.03203,0.08161,0.02363,0.00641,1.38035,2.73917,2.81812,0.0401186,0.00664757,0.00664757
3,139.809,0.87809,3.47453,2.56008,0.16562,0.05707,0.03213,0.00938,1.34276,3.41702,2.73832,0.010108,0.00997025,0.00997025
4,184.502,0.7879,3.61354,2.43788,0.09735,0.18831,0.08982,0.03125,1.06058,2.34972,2.37045,0.009976,0.009976,0.009976
5,218.295,0.72027,2.9682,2.2278,0.48749,0.102,0.07537,0.02522,1.17374,2.57784,2.42462,0.009968,0.009968,0.009968
6,268.915,0.60624,2.78969,2.04527,0.15861,0.20999,0.10484,0.04033,1.0058,2.18055,2.21116,0.00996,0.00996,0.00996
7,321.614,0.58458,2.56196,1.99722,0.27752,0.19896,0.11101,0.03449,1.11969,2.06854,2.40542,0.009952,0.009952,0.009952
8,363.622,0.55809,2.42762,1.90875,0.19417,0.24315,0.16557,0.06807,0.8533,1.97092,1.93348,0.009944,0.009944,0.009944
9,392.363,0.51546,2.26265,1.80363,0.15715,0.29665,0.17111,0.07103,0.82502,1.77379,1.94349,0.009936,0.009936,0.009936
10,417.401,0.50942,2.13709,1.80106,0.19914,0.32551,0.21238,0.0942,0.77195,1.81815,1.82356,0.009928,0.009928,0.009928
11,442.538,0.45917,2.02047,1.71764,0.20801,0.36434,0.22304,0.10645,0.72595,1.74828,1.71901,0.00992,0.00992,0.00992
12,467.427,0.45776,1.97882,1.687,0.33325,0.34131,0.18467,0.0808,0.84667,1.88858,1.80984,0.009912,0.009912,0.009912
13,492.414,0.4338,1.86328,1.63614,0.2294,0.33436,0.22838,0.10271,0.74231,1.60373,1.75763,0.009904,0.009904,0.009904
14,517.299,0.43046,1.91216,1.60146,0.37335,0.40348,0.27819,0.13653,0.69708,1.46398,1.62694,0.009896,0.009896,0.009896
15,542.29,0.41162,1.76671,1.57625,0.42651,0.43625,0.3087,0.15457,0.6619,1.44696,1.58529,0.009888,0.009888,0.009888
16,567.492,0.40337,1.71646,1.552,0.25128,0.42657,0.26003,0.12455,0.73932,1.66411,1.7164,0.00988,0.00988,0.00988
17,592.494,0.40817,1.67378,1.53356,0.35755,0.46131,0.32221,0.17129,0.65392,1.46124,1.56741,0.009872,0.009872,0.009872
18,617.569,0.37299,1.67289,1.50466,0.48652,0.38723,0.31399,0.16,0.65987,1.49688,1.58296,0.009864,0.009864,0.009864
19,642.516,0.38389,1.57955,1.51389,0.55519,0.40513,0.36115,0.17525,0.65116,1.35932,1.55468,0.009856,0.009856,0.009856
20,667.704,0.37834,1.52373,1.50512,0.40311,0.40834,0.31835,0.1625,0.63325,1.41343,1.51685,0.009848,0.009848,0.009848
21,692.606,0.37158,1.59622,1.51967,0.27402,0.50845,0.36289,0.19201,0.6181,1.27876,1.511,0.00984,0.00984,0.00984
22,717.658,0.37873,1.49341,1.4978,0.52442,0.47261,0.42487,0.22109,0.6091,1.23106,1.49339,0.009832,0.009832,0.009832
23,742.793,0.36265,1.53748,1.46429,0.23991,0.34121,0.2188,0.1077,0.72892,1.78987,1.70011,0.009824,0.009824,0.009824
24,767.699,0.37181,1.47171,1.47489,0.38923,0.51092,0.40048,0.21716,0.625,1.31266,1.51403,0.009816,0.009816,0.009816
25,792.598,0.35676,1.41332,1.4368,0.32865,0.46323,0.31007,0.15587,0.65274,1.63147,1.59483,0.009808,0.009808,0.009808
26,817.526,0.36197,1.40901,1.42559,0.40304,0.48181,0.38604,0.21384,0.59493,1.35512,1.47379,0.0098,0.0098,0.0098
27,842.512,0.33155,1.37763,1.39106,0.3879,0.4803,0.40031,0.22022,0.62586,1.18304,1.49357,0.009792,0.009792,0.009792
28,867.441,0.35935,1.4313,1.47381,0.3974,0.52693,0.413,0.22296,0.58467,1.17453,1.44388,0.009784,0.009784,0.009784
29,892.388,0.35757,1.31198,1.40277,0.48334,0.44281,0.41986,0.21453,0.63288,1.19627,1.54307,0.009776,0.009776,0.009776
30,917.363,0.34591,1.3402,1.41595,0.53856,0.4576,0.43558,0.23642,0.56894,1.29277,1.45065,0.009768,0.009768,0.009768
31,942.263,0.34417,1.29194,1.36808,0.47373,0.548,0.49171,0.28169,0.55168,1.06068,1.38388,0.00976,0.00976,0.00976
32,967.152,0.31232,1.22857,1.36913,0.41198,0.51085,0.39155,0.21597,0.60952,1.32565,1.5043,0.009752,0.009752,0.009752
33,992.03,0.32972,1.26173,1.37036,0.45253,0.56544,0.50705,0.28467,0.55371,1.09744,1.38922,0.009744,0.009744,0.009744
34,1017.03,0.34366,1.26832,1.37593,0.45879,0.62043,0.50837,0.2811,0.55198,1.04495,1.39749,0.009736,0.009736,0.009736
35,1041.91,0.32434,1.23236,1.37305,0.46901,0.51283,0.437,0.25061,0.57878,1.15322,1.43455,0.009728,0.009728,0.009728
36,1066.8,0.3322,1.2224,1.36497,0.5115,0.54215,0.48553,0.27464,0.56591,1.07712,1.4246,0.00972,0.00972,0.00972
37,1091.77,0.34087,1.22292,1.35935,0.53673,0.44431,0.47478,0.27001,0.55168,1.04645,1.39194,0.009712,0.009712,0.009712
38,1116.67,0.32432,1.1688,1.34073,0.57109,0.54248,0.53034,0.3004,0.55245,0.9836,1.37849,0.009704,0.009704,0.009704
39,1141.56,0.32452,1.21086,1.35355,0.40195,0.56783,0.44628,0.24617,0.56147,1.20559,1.42774,0.009696,0.009696,0.009696
40,1166.44,0.3277,1.1767,1.35102,0.55957,0.57818,0.55816,0.31494,0.54707,1.02498,1.37426,0.009688,0.009688,0.009688
41,1191.43,0.3107,1.14599,1.3284,0.49126,0.5368,0.48204,0.26837,0.57442,1.07724,1.44033,0.00968,0.00968,0.00968
42,1216.32,0.32423,1.15983,1.33437,0.59433,0.57892,0.58506,0.33097,0.52409,0.9558,1.37097,0.009672,0.009672,0.009672
43,1241.22,0.31172,1.06262,1.31988,0.46901,0.61905,0.57341,0.31813,0.54496,0.99722,1.38178,0.009664,0.009664,0.009664
44,1266.19,0.29626,1.13076,1.32522,0.55857,0.58171,0.54839,0.30381,0.51742,0.98918,1.35407,0.009656,0.009656,0.009656
45,1291.09,0.31261,1.1434,1.34422,0.33337,0.43211,0.34131,0.15787,0.65893,1.55932,1.64462,0.009648,0.009648,0.009648
46,1315.98,0.32317,1.10084,1.33369,0.50828,0.54242,0.5114,0.24643,0.58819,1.15304,1.52871,0.00964,0.00964,0.00964
47,1340.86,0.30674,1.08452,1.31808,0.43167,0.57139,0.45863,0.25962,0.56224,1.10305,1.43022,0.009632,0.009632,0.009632
48,1365.82,0.31989,1.01763,1.29653,0.50035,0.56898,0.51652,0.28753,0.54212,1.0585,1.42454,0.009624,0.009624,0.009624
49,1390.71,0.30087,1.06315,1.31246,0.54828,0.48389,0.47764,0.26355,0.5497,1.26767,1.4221,0.009616,0.009616,0.009616
50,1415.61,0.30756,1.0764,1.29871,0.56187,0.49925,0.5283,0.29148,0.53907,1.07659,1.42073,0.009608,0.009608,0.009608
51,1440.68,0.30281,1.06449,1.29883,0.51393,0.56371,0.55842,0.3077,0.54889,1.02598,1.43692,0.0096,0.0096,0.0096
52,1472.58,0.2993,1.07042,1.30001,0.5852,0.469,0.52024,0.29238,0.56131,0.98397,1.39842,0.009592,0.009592,0.009592
53,1497.29,0.27968,1.06866,1.29388,0.49566,0.3848,0.40486,0.21998,0.56718,1.29948,1.46479,0.009584,0.009584,0.009584
54,1533.5,0.30529,1.02442,1.30828,0.39013,0.52109,0.44688,0.21299,0.59244,1.35064,1.54646,0.009576,0.009576,0.009576
55,1558.22,0.29644,1.00248,1.32329,0.53643,0.52383,0.50819,0.28965,0.54031,1.10175,1.40386,0.009568,0.009568,0.009568
