epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.694,7.39261,3.11866,2.7525,0.05369,0.06657,0.03593,0.01294,8.21241,2.33078,2.42296,0.0700174,0.0033314,0.0033314
2,730.881,4.97248,2.2447,2.14029,0.0952,0.1282,0.07033,0.02928,6.40789,1.92571,2.00198,0.040012,0.0066594,0.0066594
3,1081.52,4.23993,1.97325,1.882,0.15385,0.15068,0.10635,0.0504,5.48682,1.78339,1.77235,0.0100014,0.00998207,0.00998207
4,1434.03,3.75439,1.76328,1.71995,0.22289,0.20685,0.15043,0.0747,4.80922,1.52003,1.60525,0.009976,0.009976,0.009976
5,1787.39,3.42182,1.60635,1.60679,0.24612,0.22976,0.17989,0.09257,4.5227,1.36817,1.54063,0.009968,0.009968,0.009968
6,2140.95,3.23579,1.49422,1.53599,0.27538,0.25815,0.21369,0.11443,4.18,1.28761,1.46223,0.00996,0.00996,0.00996
7,2493.84,3.11022,1.40812,1.50355,0.31469,0.26437,0.22569,0.11965,4.08764,1.24837,1.44814,0.009952,0.009952,0.009952
8,2847.1,2.91544,1.33381,1.45755,0.32365,0.28721,0.24657,0.13335,3.90018,1.1807,1.40841,0.009944,0.009944,0.009944
9,351.28,2.89725,1.29407,1.43885,0.33608,0.30188,0.26095,0.14273,3.7595,1.141,1.37239,0.009936,0.009936,0.009936
10,703.815,2.76555,1.24186,1.4074,0.35316,0.31022,0.27914,0.15405,3.65077,1.11337,1.34862,0.009928,0.009928,0.009928
11,1056.11,2.73179,1.21826,1.39384,0.39203,0.30864,0.28983,0.16023,3.59002,1.0696,1.34034,0.00992,0.00992,0.00992
12,1407.47,2.67294,1.18279,1.37909,0.38475,0.32337,0.29725,0.16607,3.51996,1.05036,1.32246,0.009912,0.009912,0.009912
