epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.093,11.3748,3.28923,3.11018,0.04128,0.05918,0.02697,0.00946,13.518,2.52341,2.85329,0.0700174,0.0033314,0.0033314
2,730.699,8.78576,2.53634,2.57148,0.06718,0.1028,0.053,0.02055,11.9101,2.21731,2.52596,0.040012,0.0066594,0.0066594
3,1067.37,7.8588,2.27514,2.33431,0.11043,0.12388,0.08274,0.03516,10.0721,2.03104,2.23295,0.0100014,0.00998207,0.00998207
4,1359.34,7.09385,2.0599,2.16231,0.24388,0.16628,0.11265,0.05214,8.95119,1.79262,2.04083,0.009976,0.009976,0.009976
5,1666.45,6.536,1.89541,2.02431,0.15879,0.1958,0.1362,0.06604,8.41494,1.6289,1.94471,0.009968,0.009968,0.009968
6,2011.2,6.19326,1.77876,1.93857,0.20606,0.21924,0.16402,0.08241,7.78142,1.53479,1.86519,0.00996,0.00996,0.00996
7,2352.17,5.92846,1.69538,1.90171,0.22484,0.22998,0.1762,0.08926,7.48001,1.47705,1.82683,0.009952,0.009952,0.009952
8,2729.17,5.54958,1.61878,1.84542,0.24743,0.23265,0.18939,0.09803,7.29359,1.4212,1.79791,0.009944,0.009944,0.009944
9,3093.44,5.38549,1.57683,1.80444,0.25793,0.25293,0.20245,0.10358,7.1103,1.39737,1.77547,0.009936,0.009936,0.009936
10,3371.79,5.30274,1.53424,1.78618,0.37556,0.25117,0.21926,0.11446,6.76085,1.34469,1.7227,0.009928,0.009928,0.009928
11,3646.54,5.12312,1.49263,1.75689,0.29438,0.27219,0.22431,0.11798,6.58845,1.31817,1.69565,0.00992,0.00992,0.00992
12,3950.87,5.11009,1.46131,1.73369,0.31466,0.26774,0.23588,0.12563,6.61496,1.30424,1.69229,0.009912,0.009912,0.009912
13,4284.21,5.00758,1.43605,1.71781,0.32058,0.2891,0.25043,0.13426,6.42778,1.26828,1.66699,0.009904,0.009904,0.009904
14,4583.16,4.93228,1.40443,1.69445,0.33758,0.29484,0.25323,0.13647,6.3889,1.23774,1.65237,0.009896,0.009896,0.009896
15,4918.1,4.93915,1.37678,1.68732,0.33246,0.29774,0.26168,0.14129,6.28227,1.23865,1.63937,0.009888,0.009888,0.009888
16,5205.24,4.80936,1.36444,1.67453,0.33673,0.30933,0.26856,0.14535,6.23166,1.20307,1.62677,0.00988,0.00988,0.00988
17,5598.68,4.74995,1.35685,1.65973,0.34456,0.31438,0.27377,0.14851,6.11596,1.18372,1.61677,0.009872,0.009872,0.009872
18,5905.44,4.7017,1.32703,1.6558,0.36067,0.30713,0.276,0.14946,6.12803,1.18886,1.61616,0.009864,0.009864,0.009864
19,6255.52,4.66253,1.30553,1.63503,0.36483,0.3273,0.28389,0.15521,5.9874,1.15716,1.5907,0.009856,0.009856,0.009856
20,6530.58,4.57997,1.29961,1.62922,0.36191,0.32856,0.28976,0.15971,5.93023,1.14853,1.5835,0.009848,0.009848,0.009848
21,6932.26,4.54124,1.28905,1.62283,0.36202,0.33156,0.29235,0.16187,5.88715,1.13331,1.57709,0.00984,0.00984,0.00984
22,7216.07,4.49366,1.27396,1.61131,0.36864,0.3321,0.29797,0.16408,5.87705,1.13019,1.57715,0.009832,0.009832,0.009832
23,7530.63,4.48081,1.25954,1.60513,0.38542,0.34053,0.30478,0.16913,5.80498,1.1175,1.55825,0.009824,0.009824,0.009824
24,362.687,4.50743,1.24885,1.60125,0.38661,0.34086,0.3055,0.16858,5.78475,1.11032,1.55826,0.009816,0.009816,0.009816
25,687.222,4.39564,1.23492,1.59068,0.40639,0.3395,0.3111,0.17366,5.72374,1.09786,1.54837,0.009808,0.009808,0.009808
26,1018.43,4.42638,1.23692,1.58926,0.39383,0.35575,0.32028,0.17832,5.65607,1.08335,1.53938,0.0098,0.0098,0.0098
27,1306.1,4.37523,1.22154,1.58605,0.38525,0.35383,0.31932,0.17807,5.63039,1.07963,1.53722,0.009792,0.009792,0.009792
28,1603.78,4.36217,1.21245,1.57494,0.37529,0.368,0.32163,0.17927,5.59043,1.0784,1.5294,0.009784,0.009784,0.009784
29,1945.38,4.37559,1.2104,1.5649,0.39853,0.35475,0.32518,0.18253,5.57947,1.06621,1.52561,0.009776,0.009776,0.009776
30,2279.82,4.34719,1.20574,1.57154,0.4028,0.35491,0.32813,0.18311,5.5651,1.05858,1.52467,0.009768,0.009768,0.009768
