epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.032,6.99763,3.04922,2.68204,0.05576,0.06644,0.03576,0.01287,8.05787,2.32855,2.34412,0.0700174,0.0033314,0.0033314
2,403.617,5.01172,2.29427,2.14031,0.08215,0.12269,0.06594,0.02813,6.45438,1.98672,1.99022,0.040012,0.0066594,0.0066594
3,593.359,4.3866,2.04933,1.92401,0.14804,0.14415,0.09857,0.04505,5.6257,1.81785,1.80006,0.0100014,0.00998207,0.00998207
4,781.281,3.92267,1.85594,1.77411,0.19787,0.18485,0.1329,0.06599,4.98901,1.61495,1.64838,0.009976,0.009976,0.009976
5,969.155,3.57638,1.6987,1.66069,0.21233,0.22185,0.15669,0.07914,4.69621,1.46822,1.58419,0.009968,0.009968,0.009968
6,1157.88,3.39835,1.58948,1.59012,0.23204,0.24425,0.18303,0.09593,4.40897,1.38532,1.51349,0.00996,0.00996,0.00996
7,1345.43,3.2821,1.51694,1.55974,0.28922,0.23955,0.19788,0.10459,4.2779,1.33864,1.49654,0.009952,0.009952,0.009952
8,1533.53,3.09219,1.44366,1.51465,0.28007,0.25248,0.20746,0.10914,4.23828,1.28586,1.48232,0.009944,0.009944,0.009944
9,1720.28,3.00971,1.40605,1.4845,0.31835,0.26598,0.22734,0.12075,3.99887,1.24251,1.42935,0.009936,0.009936,0.009936
10,1909.19,2.98012,1.36587,1.47196,0.33571,0.27704,0.23902,0.12913,3.91747,1.21719,1.41028,0.009928,0.009928,0.009928
11,2096.01,2.8877,1.32995,1.451,0.34876,0.28165,0.24455,0.1321,3.83295,1.18337,1.39221,0.00992,0.00992,0.00992
12,2283.43,2.86875,1.30457,1.434,0.38913,0.27606,0.25723,0.13995,3.81099,1.16826,1.38558,0.009912,0.009912,0.009912
13,2470.82,2.82667,1.27724,1.42434,0.3509,0.29774,0.26348,0.14351,3.74857,1.16878,1.3691,0.009904,0.009904,0.009904
14,2657.84,2.76084,1.25498,1.4044,0.3841,0.29262,0.26848,0.14644,3.70014,1.12039,1.36058,0.009896,0.009896,0.009896
15,2844.89,2.77447,1.22891,1.39793,0.34812,0.31664,0.27527,0.15084,3.66003,1.11193,1.35313,0.009888,0.009888,0.009888
16,3031.75,2.71798,1.21465,1.39243,0.3714,0.31636,0.28508,0.15809,3.60235,1.10172,1.3423,0.00988,0.00988,0.00988
17,3218.13,2.67521,1.20935,1.38273,0.39211,0.31414,0.29327,0.16131,3.53694,1.07075,1.3269,0.009872,0.009872,0.009872
18,3404.46,2.6505,1.18695,1.37499,0.37817,0.31886,0.29186,0.16172,3.53737,1.06515,1.32863,0.009864,0.009864,0.009864
19,3590.7,2.61826,1.16344,1.3584,0.39136,0.33353,0.30194,0.16836,3.48803,1.04955,1.32057,0.009856,0.009856,0.009856
20,3777.41,2.58228,1.15884,1.35852,0.40587,0.32846,0.30544,0.17039,3.46026,1.04161,1.31268,0.009848,0.009848,0.009848
21,3963.92,2.55863,1.151,1.35373,0.39263,0.32745,0.30231,0.17016,3.42792,1.02558,1.30663,0.00984,0.00984,0.00984
22,4150.18,2.54261,1.13242,1.34512,0.40369,0.33597,0.31478,0.17632,3.39398,1.00909,1.30295,0.009832,0.009832,0.009832
